,date,district,prevalence,next_prevalence,ndvi,ipc,population,rainfall,month,total_alarms,district_encoded
0,2017-07-01,Adan Yabaal,0.3692,0.3510000000000001,0.215,0.18,65262.95999999999,19.156666666666663,7,2.1666666666666665,0
1,2017-07-01,Lughaye,0.3796,0.169,0.09,0.36,70268.22,5.794999999999999,7,2.6666666666666665,58
2,2017-07-01,Buuhoodle,0.3406000000000001,0.2027999999999999,0.2133333333333333,0.37,71317.70999999999,19.540000000000003,7,2.333333333333333,23
3,2017-07-01,Luuq,0.4315999999999998,0.3926,0.1933333333333333,0.21,100476.765,24.24,7,7.833333333333333,59
4,2017-07-01,Burtinle,0.4524000000000001,0.3795999999999999,0.18,0.22,112734.27,15.903333333333334,7,3.6666666666666665,22
5,2017-07-01,Marka,0.3692,0.351,0.2983333333333333,0.17,282222.765,23.565,7,11.833333333333334,60
6,2017-07-01,Owdweyne,0.3406,0.2028,0.165,0.46,78004.845,16.686666666666667,7,1.6666666666666667,61
7,2017-07-01,Bulo Burto,0.429,0.3926,0.245,0.38,181435.5,17.058333333333334,7,6.166666666666667,20
8,2017-07-01,Qandala,0.4055999999999999,0.3431999999999999,0.1633333333333333,0.38,75823.06499999999,11.034999999999998,7,1.6666666666666667,62
9,2017-07-01,Bu'aale,0.4316,0.3925999999999999,0.4783333333333333,0.07,93543.3,61.24333333333333,7,5.666666666666667,19
10,2017-07-01,Qansax Dheere,0.3588,0.2886,0.2916666666666667,0.42,123818.085,35.505,7,9.833333333333334,63
11,2017-07-01,Bossaso,0.4160559934810628,0.3432,0.145,0.02,365531.98,10.411666666666669,7,5.833333333333333,18
12,2017-07-01,Qardho,0.4112666438059597,0.3432,0.1316666666666666,0.04,185616.89,16.371666666666666,7,1.6666666666666667,64
13,2017-07-01,Borama,0.3795999999999999,0.1690000000000001,0.18,0.07,491879.61,26.776666666666667,7,4.666666666666667,17
14,2017-07-01,Qoryooley,0.3691999999999998,0.351,0.3533333333333333,0.12,196309.485,27.45833333333333,7,8.0,65
15,2017-07-01,Berbera,0.3387799937377845,0.1976,0.1033333333333333,0.17,112100.9,11.26,7,1.3333333333333333,16
17,2017-07-01,Belet Xaawo,0.4316000000000001,0.3926,0.2616666666666666,0.23,89717.93999999997,25.688333333333333,7,8.0,15
18,2017-07-01,Saakow,0.4316,0.3925999999999999,0.3349999999999999,0.07,178339.81499999997,49.623333333333335,7,5.833333333333333,67
19,2017-07-01,Belet Weyne,0.429,0.3926,0.22,0.42,281126.69999999995,15.163333333333334,7,11.833333333333334,13
20,2017-07-01,Sheikh,0.3406,0.2028,0.18,0.26,62404.28999999999,17.166666666666668,7,0.8333333333333334,68
21,2017-07-01,Taleex,0.442,0.2912,0.1266666666666666,0.39,57175.47,11.511666666666668,7,1.5,69
22,2017-07-01,Baraawe,0.3692000000000001,0.3510000000000001,0.3816666666666666,0.3,69703.11,49.0675,7,3.333333333333333,11
23,2017-07-01,Baraawe,0.3692,0.3692000000000001,0.3816666666666666,0.3,62978.715,49.0675,7,3.333333333333333,11
24,2017-07-01,Tayeeglow,0.4861999999999999,0.4861999999999999,0.2966666666666667,0.33,99175.77,20.218333333333334,7,6.333333333333333,70
25,2017-07-01,Bandarbeyla,0.4056,0.3432000000000001,0.1383333333333333,0.15,27594.135,12.158333333333331,7,2.1666666666666665,10
26,2017-07-01,Waajid,0.4861999999999999,0.4861999999999999,0.2566666666666666,0.44,85276.75499999999,26.04833333333333,7,7.0,71
28,2017-07-01,Buur Hakaba,0.3588,0.2886,0.3483333333333333,0.35,165968.46,34.945,7,6.166666666666667,24
29,2017-07-01,Wanla Weyn,0.3692,0.351,0.2533333333333333,0.06,227667.915,17.33,7,8.0,72
30,2017-07-01,Laas Caanood,0.442,0.2911999999999999,0.1533333333333333,0.39,170114.66999999998,14.101666666666668,7,6.0,55
31,2017-07-01,Kurtunwaarey,0.3691999999999999,0.3510000000000001,0.4016666666666666,0.17,95730.255,38.73833333333334,7,5.833333333333333,54
32,2017-07-01,Eyl,0.4523999999999998,0.3795999999999999,0.1483333333333333,0.26,105162.21,18.746666666666663,7,3.1666666666666665,39
33,2017-07-01,Galdogob,0.4732,0.4004,0.1766666666666666,0.34,85807.70999999999,14.025,7,1.3333333333333333,41
34,2017-07-01,Doolow,0.4356257436740676,0.3926,0.18,0.23,50233.7,18.89166666666667,7,1.1666666666666667,38
35,2017-07-01,Garbahaarey,0.4316,0.3925999999999999,0.2483333333333333,0.23,91374.975,27.505,7,2.333333333333333,42
36,2017-07-01,Diinsoor,0.3588,0.2886000000000001,0.3716666666666666,0.39,100108.305,43.045,7,9.333333333333334,37
37,2017-07-01,Garoowe,0.458347673913086,0.3795999999999999,0.1383333333333333,0.13,207534.915,19.626666666666665,7,6.833333333333333,43
38,2017-07-01,Dhuusamarreeb,0.5273255872387238,0.4212,0.1883333333333333,0.37,166457.645,10.686666666666667,7,5.166666666666667,36
39,2017-07-01,Gebiley,0.338,0.1975999999999999,0.17,0.15,146038.5,27.05333333333333,7,3.333333333333333,44
40,2017-07-01,Ceerigaabo,0.4446,0.3367000000000001,0.1333333333333333,0.34,239221.62,16.77,7,5.166666666666667,35
41,2017-07-01,Hargeysa,0.3425891325819686,0.1975999999999999,0.0,0.08,1071923.705,19.46333333333333,7,6.5,45
42,2017-07-01,Ceel Waaq,0.4315999999999999,0.3925999999999998,0.295,0.14,32041.53,33.525,7,7.5,34
43,2017-07-01,Hobyo,0.4732,0.4003999999999999,0.1416666666666667,0.5,285434.37,8.616666666666667,7,5.666666666666667,46
44,2017-07-01,Ceel Dheer,0.52,0.4211999999999999,0.1916666666666666,0.38,130366.52999999998,19.48333333333333,7,3.333333333333333,33
45,2017-07-01,Iskushuban,0.4056,0.3432,0.1366666666666667,0.28,82588.86,7.430000000000001,7,2.1666666666666665,47
46,2017-07-01,Ceel Buur,0.52,0.4212,0.1999999999999999,0.33,141229.88999999998,12.718333333333334,7,2.0,32
47,2017-07-01,Jalalaqsi,0.4290000000000001,0.3925999999999999,0.2583333333333333,0.33,76346.775,16.093333333333334,7,5.333333333333333,48
48,2017-07-01,Ceel Barde,0.4861999999999998,0.4861999999999998,0.2233333333333333,0.43,46070.955,17.205000000000002,7,9.5,31
49,2017-07-01,Jamaame,0.4316000000000001,0.3926,0.3766666666666666,0.28,169536.10499999998,61.74666666666667,7,4.5,49
50,2017-07-01,Ceel Afweyn,0.4446,0.3367,0.135,0.38,137053.66499999998,15.371666666666668,7,4.5,30
51,2017-07-01,Jariiban,0.4731999999999999,0.4004,0.1533333333333333,0.38,83205.71999999999,10.07,7,3.333333333333333,50
52,2017-07-01,Caynabo,0.442,0.2911999999999999,0.15,0.43,69235.29,16.83,7,2.0,29
53,2017-07-01,Jilib,0.4316000000000001,0.3925999999999999,0.4516666666666666,0.14,103739.085,70.79833333333333,7,7.5,51
54,2017-07-01,Caluula,0.4056,0.3432,0.1716666666666666,0.38,67184.955,5.688333333333333,7,2.6666666666666665,28
55,2017-07-01,Jowhar,0.3692000000000001,0.351,0.255,0.07,279295.785,15.24,7,5.833333333333333,52
56,2017-07-01,Cadale,0.3691999999999999,0.351,0.22,0.17,48461.80499999999,18.94333333333333,7,6.5,27
57,2017-07-01,Kismaayo,0.4255768922026957,0.3925999999999999,0.4133333333333333,0.3,228785.545,56.086666666666666,7,8.833333333333334,53
58,2017-07-01,Cadaado,0.5199999999999999,0.4212,0.1766666666666666,0.33,81479.34,8.985000000000001,7,2.833333333333333,26
59,2017-07-01,Cabudwaaq,0.5200000000000001,0.4212,0.1899999999999999,0.36,73330.78499999999,11.251666666666663,7,5.5,25
60,2017-07-01,Balcad,0.3692,0.351,0.2716666666666666,0.14,141077.745,20.65833333333333,7,7.0,8
61,2017-07-01,Burco,0.3359409653359994,0.2028,0.185,0.23,560644.8949999999,18.7,7,7.666666666666667,21
62,2017-07-01,Gaalkacyo,0.4796931726673279,0.4004,0.175,0.58,630641.6,11.296666666666669,7,10.5,40
63,2017-07-01,Baki,0.3796,0.169,0.1266666666666666,0.23,70268.22,12.97,7,1.3333333333333333,7
64,2017-07-01,Zeylac,0.3796,0.1689999999999999,0.0966666666666666,0.39,64412.19,9.298333333333334,7,4.5,76
65,2017-07-01,Laasqoray,0.4446000000000001,0.3367,0.15,0.35,186893.055,14.268333333333333,7,1.1666666666666667,56
66,2017-07-01,Badhaadhe,0.4316000000000001,0.3926,0.49,0.15,50723.28,63.031666666666666,7,1.8333333333333333,4
67,2017-07-01,Xudur,0.4862,0.4862,0.2466666666666666,0.45,113853.105,17.761666666666667,7,8.5,75
68,2017-07-01,Afgooye,0.3692,0.351,0.2566666666666666,0.09,309683.38499999995,23.366666666666664,7,9.5,1
69,2017-07-01,Xarardheere,0.4732000000000002,0.4004000000000001,0.1566666666666666,0.25,278193.50999999995,14.223333333333334,7,6.0,73
70,2017-07-01,Baardheere,0.4316,0.3925999999999999,0.2883333333333333,0.21,170132.26499999998,38.105,7,8.166666666666666,3
71,2017-07-01,Afmadow,0.4206678541919456,0.3925999999999999,0.365,0.1,80386.78,55.97166666666666,7,5.0,2
72,2017-07-01,Baidoa,0.3774023043398614,0.2886,0.35,0.39,450683.52,32.67333333333333,7,14.0,6
73,2017-07-01,Xudun,0.442,0.2912,0.1266666666666666,0.46,42361.515,15.235,7,1.6666666666666667,74
74,2018-01-01,Marka,0.351,0.3971406259324205,0.3116666666666667,0.03,282222.765,14.213333333333331,1,11.0,60
75,2018-01-01,Burco,0.2028,0.2211366753028379,0.185,0.05,534884.8949999999,15.870000000000005,1,7.0,21
76,2018-01-01,Qoryooley,0.351,0.4363798525409664,0.3466666666666667,0.09,196309.485,20.61,1,7.833333333333333,65
77,2018-01-01,Gaalkacyo,0.4004,0.4668580324895174,0.18,0.29,584319.6,10.981666666666667,1,9.333333333333334,40
78,2018-01-01,Ceel Waaq,0.3925999999999998,0.2770029164634731,0.2783333333333333,0.0,32041.53,34.19166666666667,1,5.833333333333333,34
79,2018-01-01,Badhaadhe,0.3926,0.3711192650605567,0.5016666666666667,0.09,50723.28,35.37666666666667,1,1.5,4
80,2018-01-01,Owdweyne,0.2028,0.2303423878316652,0.15,0.3,78004.845,16.495,1,0.5,61
81,2018-01-01,Bulo Burto,0.3926,0.3908949717937982,0.2733333333333333,0.25,181435.5,23.03,1,3.8333333333333335,20
82,2018-01-01,Hargeysa,0.1975999999999999,0.2386485041615721,0.0,0.14,1027923.705,16.698333333333334,1,7.666666666666667,45
83,2018-01-01,Jariiban,0.4004,0.4050420526164857,0.1416666666666667,0.2,83205.71999999999,5.64,1,2.833333333333333,50
84,2018-01-01,Afgooye,0.351,0.384859060068862,0.2733333333333334,0.0,309683.38499999995,21.791666666666668,1,9.833333333333334,1
85,2018-01-01,Bu'aale,0.3925999999999999,0.4125181113098476,0.4233333333333333,0.0,93543.3,38.975,1,2.1666666666666665,19
86,2018-01-01,Xudun,0.2912,0.2431695325710332,0.1133333333333333,0.34,42361.515,7.319999999999999,1,0.8333333333333334,74
87,2018-01-01,Borama,0.1690000000000001,0.2406251937071188,0.2016666666666666,0.04,491879.61,36.94833333333333,1,5.666666666666667,17
88,2018-01-01,Qardho,0.3432,0.5372761677527557,0.13,0.04,174970.88999999998,7.013333333333333,1,1.6666666666666667,64
89,2018-01-01,Ceerigaabo,0.3367000000000001,0.3096083862495412,0.1333333333333333,0.24,239221.62,18.895,1,3.8333333333333335,35
90,2018-01-01,Qansax Dheere,0.2886,0.5092847348131929,0.2666666666666666,0.09,123818.085,27.285,1,6.666666666666667,63
91,2018-01-01,Bossaso,0.3432,0.482210605259551,0.1483333333333333,0.01,316531.98,9.083333333333334,1,6.333333333333333,18
92,2018-01-01,Gebiley,0.1975999999999999,0.2443191130723181,0.2083333333333333,0.13,146038.5,23.33833333333333,1,3.8333333333333335,44
93,2018-01-01,Dhuusamarreeb,0.4212,0.3909032104916541,0.2083333333333333,0.18,162957.645,22.266666666666666,1,5.666666666666667,36
94,2018-01-01,Hobyo,0.4003999999999999,0.3354148794445133,0.1366666666666667,0.25,142717.185,11.230000000000002,1,4.833333333333333,46
95,2018-01-01,Buuhoodle,0.2027999999999999,0.226129551832888,0.2216666666666666,0.17,71317.70999999999,27.461666666666662,1,2.1666666666666665,23
96,2018-01-01,Burtinle,0.3795999999999999,0.4927859267135329,0.1883333333333333,0.08,112734.27,10.768333333333333,1,4.0,22
97,2018-01-01,Afmadow,0.3925999999999999,0.3680877161916911,0.3216666666666666,0.01,67386.78,37.89833333333333,1,5.0,2
98,2018-01-01,Ceel Afweyn,0.3367,0.2906972787612182,0.1383333333333333,0.27,137053.66499999998,17.48,1,4.0,30
99,2018-01-01,Caynabo,0.2911999999999999,0.2428031590674251,0.1483333333333333,0.31,69235.29,13.275,1,1.1666666666666667,29
100,2018-01-01,Jilib,0.3925999999999999,0.4060356888423295,0.3916666666666666,0.09,103739.085,32.443333333333335,1,4.0,51
101,2018-01-01,Jamaame,0.3926,0.4077438698894172,0.3333333333333333,0.25,169536.10499999998,23.81,1,4.166666666666667,49
102,2018-01-01,Caluula,0.3432,0.4507637375759017,0.1733333333333333,0.21,67184.955,4.72,1,4.0,28
103,2018-01-01,Jowhar,0.351,0.3830459721840857,0.26,0.0,279295.785,23.016666666666666,1,5.333333333333333,52
104,2018-01-01,Ceel Barde,0.4861999999999998,0.34701491572768,0.2533333333333333,0.0,46070.955,18.793333333333333,1,5.5,31
105,2018-01-01,Cadale,0.351,0.2829201738380863,0.2266666666666666,0.0,48461.80499999999,23.55333333333333,1,6.166666666666667,27
106,2018-01-01,Zeylac,0.1689999999999999,0.4330650433619875,0.095,0.57,64412.19,12.045,1,4.666666666666667,76
107,2018-01-01,Kismaayo,0.3925999999999999,0.4685498464822668,0.3433333333333333,0.17,218785.545,29.801666666666662,1,7.5,53
108,2018-01-01,Jalalaqsi,0.3925999999999999,0.3858321287337016,0.2783333333333333,0.16,76346.775,22.641666666666666,1,4.0,48
109,2018-01-01,Cadaado,0.4212,0.4263710655123516,0.185,0.15,81479.34,14.24,1,2.333333333333333,26
110,2018-01-01,Baardheere,0.3925999999999999,0.2972606382668021,0.2933333333333333,0.0,170132.26499999998,38.45666666666667,1,7.833333333333333,3
111,2018-01-01,Kurtunwaarey,0.3510000000000001,0.4461179568825337,0.365,0.18,95730.255,24.39,1,6.5,54
112,2018-01-01,Ceel Buur,0.4212,0.3602624374798162,0.2233333333333333,0.14,141229.88999999998,20.66333333333333,1,1.8333333333333333,32
113,2018-01-01,Cabudwaaq,0.4212,0.4299665440197571,0.215,0.14,73330.78499999999,24.223333333333333,1,5.833333333333333,25
114,2018-01-01,Laas Caanood,0.2911999999999999,0.2293654902134254,0.1516666666666666,0.26,170114.66999999998,15.746666666666668,1,4.833333333333333,55
115,2018-01-01,Buur Hakaba,0.2886,0.4846909879180319,0.3633333333333333,0.1,165968.46,25.53,1,5.0,24
116,2018-01-01,Iskushuban,0.3432,0.4846457772814762,0.125,0.16,82588.86,4.785,1,2.6666666666666665,47
117,2018-01-01,Laasqoray,0.3367,0.2261999999999999,0.1433333333333333,0.33,186893.055,9.473333333333333,1,1.5,56
118,2018-01-01,Lughaye,0.169,0.4196119285022721,0.0833333333333333,0.36,70268.22,6.658333333333334,1,3.5,58
119,2018-01-01,Ceel Dheer,0.4211999999999999,0.3142399717243435,0.2066666666666666,0.19,130366.52999999998,21.86666666666667,1,2.333333333333333,33
120,2018-01-01,Berbera,0.1976,0.2949701973955382,0.105,0.17,111510.9,9.226666666666668,1,1.6666666666666667,16
121,2018-01-01,Luuq,0.3926,0.4123022966960434,0.1883333333333333,0.0,100476.765,23.28,1,5.833333333333333,59
122,2018-01-01,Xudur,0.4862,0.4689020964811947,0.2483333333333333,0.14,113853.105,20.7,1,8.5,75
123,2018-01-01,Baidoa,0.2886,0.6333880388856111,0.365,0.06,430013.52,29.305000000000003,1,11.166666666666666,6
124,2018-01-01,Qandala,0.3431999999999999,0.4649012053458273,0.1583333333333333,0.21,75823.06499999999,9.72,1,1.8333333333333333,62
126,2018-01-01,Garbahaarey,0.3925999999999999,0.345678336354725,0.2533333333333333,0.0,91374.975,25.72833333333333,1,1.6666666666666667,42
127,2018-01-01,Adan Yabaal,0.3510000000000001,0.2789393906990287,0.225,0.0,65262.95999999999,25.348333333333333,1,3.6666666666666665,0
128,2018-01-01,Eyl,0.3795999999999999,0.456573523755734,0.1516666666666666,0.17,105162.21,5.705000000000001,1,1.8333333333333333,39
129,2018-01-01,Sheikh,0.2028,0.2505864840856458,0.1816666666666666,0.07,62404.28999999999,20.775,1,0.5,68
130,2018-01-01,Xarardheere,0.4004000000000001,0.3447106682656731,0.1816666666666666,0.09,278193.50999999995,16.915000000000003,1,4.333333333333333,73
131,2018-01-01,Belet Weyne,0.3926,0.4637281725694139,0.2283333333333333,0.24,281126.69999999995,20.93166666666667,1,7.666666666666667,13
132,2018-01-01,Galdogob,0.4004,0.4695085383288688,0.19,0.12,85807.70999999999,14.243333333333332,1,2.333333333333333,41
133,2018-01-01,Diinsoor,0.2886000000000001,0.4769534198876959,0.345,0.09,100108.305,29.26,1,7.833333333333333,37
134,2018-01-01,Waajid,0.4861999999999999,0.4748949097855825,0.25,0.11,85276.75499999999,28.575,1,6.0,71
135,2018-01-01,Tayeeglow,0.4861999999999999,0.3502607787971933,0.3116666666666667,0.08,99175.77,20.426666666666662,1,4.0,70
136,2018-01-01,Doolow,0.3926,0.5392512067568789,0.2016666666666666,0.0,42455.7,18.03333333333333,1,1.5,38
137,2018-01-01,Taleex,0.2912,0.2547557920787028,0.1166666666666666,0.37,57175.47,9.048333333333334,1,1.6666666666666667,69
138,2018-01-01,Saakow,0.3925999999999999,0.3717999999999999,0.295,0.0,178339.81499999997,35.08833333333333,1,2.833333333333333,67
139,2018-01-01,Bandarbeyla,0.3432000000000001,0.499901764184284,0.1333333333333333,0.15,27594.135,7.66,1,2.0,10
140,2018-01-01,Baraawe,0.3510000000000001,0.4309610549243231,0.3408333333333333,0.29,69703.11,25.896666666666665,1,3.5,11
141,2018-01-01,Balcad,0.351,0.3580405856281527,0.29,0.0,141077.745,24.646666666666665,1,5.833333333333333,8
142,2018-01-01,Baraawe,0.3510000000000001,0.3510000000000001,0.3408333333333333,0.29,62978.715,25.896666666666665,1,3.5,11
143,2018-01-01,Wanla Weyn,0.351,0.3788174337777663,0.2616666666666666,0.0,227667.915,21.883333333333336,1,7.5,72
145,2018-01-01,Belet Xaawo,0.3926,0.3942363701220913,0.2699999999999999,0.0,89717.93999999997,22.206666666666667,1,6.833333333333333,15
146,2018-01-01,Baki,0.169,0.2761092768701464,0.135,0.1,70268.22,14.835,1,1.5,7
147,2018-01-01,Garoowe,0.3795999999999999,0.5170266990935967,0.14,0.08,188544.915,10.928333333333333,1,7.0,43
148,2018-07-01,Galdogob,0.4695085383288688,0.4017369795363936,0.1933333333333333,0.09,96228.94625799869,22.26833333333333,7,0.5,41
149,2018-07-01,Cabudwaaq,0.4299665440197571,0.3232371835699271,0.245,0.17,148952.26299964866,31.296666666666667,7,5.0,25
150,2018-07-01,Buuhoodle,0.226129551832888,0.188847667729668,0.2366666666666666,0.07,114678.62295159738,24.96666666666667,7,1.3333333333333333,23
151,2018-07-01,Laasqoray,0.2261999999999999,0.3817815509494871,0.145,0.15,53800.5744763104,12.961666666666666,7,0.5,56
152,2018-07-01,Baki,0.2761092768701464,0.3124852051578765,0.1366666666666667,0.14,99262.17263864214,29.524999999999995,7,0.1666666666666666,7
153,2018-07-01,Taleex,0.2547557920787028,0.3787844823934796,0.125,0.44,38521.922596223885,9.59,7,1.1666666666666667,69
154,2018-07-01,Laas Caanood,0.2293654902134254,0.3237610476395274,0.1516666666666666,0.41,220788.33591955536,13.065,7,4.333333333333333,55
155,2018-07-01,Wanla Weyn,0.3788174337777663,0.4417324945420314,0.335,0.0,105508.44272316828,38.31,7,4.5,72
156,2018-07-01,Iskushuban,0.4846457772814762,0.4239158201206688,0.1333333333333333,0.08,60361.40289872798,6.125,7,0.6666666666666666,47
157,2018-07-01,Ceel Buur,0.3602624374798162,0.3168079047398306,0.24,0.17,75284.97791694281,25.290000000000003,7,1.1666666666666667,32
158,2018-07-01,Buur Hakaba,0.4846909879180319,0.47037719442215,0.4316666666666666,0.1,128204.6513460276,65.22166666666666,7,2.333333333333333,24
